"learning_rate","max_bin","num_leaves","nrounds","boosting","max_depth","bagging_fraction","feature_fraction","accuracy"
0.05,2048,70,100,"gbdt",15,1,1,0
0.01,2048,70,100,"gbdt",15,1,1,0
0.1,256,40,150,"gbdt",15,1,1,0
0.05,256,40,150,"gbdt",15,1,1,0
0.01,256,40,150,"gbdt",15,1,1,0
0.1,512,40,150,"gbdt",15,1,1,0
0.05,512,40,150,"gbdt",15,1,1,0.576135907832711
0.01,512,40,150,"gbdt",15,1,1,0
0.1,1024,40,150,"gbdt",15,1,1,-1
0.05,1024,40,150,"gbdt",15,1,1,0
0.01,1024,40,150,"gbdt",15,1,1,0.643752258710182
0.1,2048,40,150,"gbdt",15,1,1,0
0.05,2048,40,150,"gbdt",15,1,1,0.593771718367136
0.01,2048,40,150,"gbdt",15,1,1,0.656997732354261
0.1,256,50,150,"gbdt",15,1,1,0
0.05,256,50,150,"gbdt",15,1,1,0
0.01,256,50,150,"gbdt",15,1,1,0
0.1,512,50,150,"gbdt",15,1,1,0
0.05,512,50,150,"gbdt",15,1,1,0
0.01,512,50,150,"gbdt",15,1,1,0
0.1,1024,50,150,"gbdt",15,1,1,0
0.05,1024,50,150,"gbdt",15,1,1,0
0.01,1024,50,150,"gbdt",15,1,1,0
0.1,2048,50,150,"gbdt",15,1,1,0
0.05,2048,50,150,"gbdt",15,1,1,0
0.01,2048,50,150,"gbdt",15,1,1,0
0.1,256,60,150,"gbdt",15,1,1,0
0.05,256,60,150,"gbdt",15,1,1,0
0.01,256,60,150,"gbdt",15,1,1,0
0.1,512,60,150,"gbdt",15,1,1,0
0.05,512,60,150,"gbdt",15,1,1,0
0.01,512,60,150,"gbdt",15,1,1,0.657623221327784
0.1,1024,60,150,"gbdt",15,1,1,-1
0.05,1024,60,150,"gbdt",15,1,1,0
0.01,1024,60,150,"gbdt",15,1,1,0.675981819120503
0.1,2048,60,150,"gbdt",15,1,1,0
0.05,2048,60,150,"gbdt",15,1,1,0
0.01,2048,60,150,"gbdt",15,1,1,0
0.1,256,70,150,"gbdt",15,1,1,0
0.05,256,70,150,"gbdt",15,1,1,0
0.01,256,70,150,"gbdt",15,1,1,0
0.1,512,70,150,"gbdt",15,1,1,-1
0.05,512,70,150,"gbdt",15,1,1,0.569900874890291
0.01,512,70,150,"gbdt",15,1,1,0
0.1,1024,70,150,"gbdt",15,1,1,0
0.05,1024,70,150,"gbdt",15,1,1,0.617982113001037
0.01,1024,70,150,"gbdt",15,1,1,0
0.1,2048,70,150,"gbdt",15,1,1,0
0.05,2048,70,150,"gbdt",15,1,1,0.632520263857063
0.01,2048,70,150,"gbdt",15,1,1,0
0.1,256,40,100,"dart",15,1,1,0
0.05,256,40,100,"dart",15,1,1,0.623366282371536
0.01,256,40,100,"dart",15,1,1,0.584074653598249
0.1,512,40,100,"dart",15,1,1,0
0.05,512,40,100,"dart",15,1,1,0
0.01,512,40,100,"dart",15,1,1,0
0.1,1024,40,100,"dart",15,1,1,0
0.05,1024,40,100,"dart",15,1,1,0.661497281605064
0.01,1024,40,100,"dart",15,1,1,0
0.1,2048,40,100,"dart",15,1,1,0
0.05,2048,40,100,"dart",15,1,1,0
0.01,2048,40,100,"dart",15,1,1,0
0.1,256,50,100,"dart",15,1,1,0
0.05,256,50,100,"dart",15,1,1,0
0.01,256,50,100,"dart",15,1,1,0
0.1,512,50,100,"dart",15,1,1,0
0.05,512,50,100,"dart",15,1,1,0
0.01,512,50,100,"dart",15,1,1,0.610739347823497
0.1,1024,50,100,"dart",15,1,1,0
0.05,1024,50,100,"dart",15,1,1,0
0.01,1024,50,100,"dart",15,1,1,0.624096019507313
0.1,2048,50,100,"dart",15,1,1,0
0.05,2048,50,100,"dart",15,1,1,0
0.01,2048,50,100,"dart",15,1,1,0
0.1,256,60,100,"dart",15,1,1,0.653023395273289
0.05,256,60,100,"dart",15,1,1,0.650537324813445
0.01,256,60,100,"dart",15,1,1,0
0.1,512,60,100,"dart",15,1,1,0.678913674578937
0.05,512,60,100,"dart",15,1,1,0
0.01,512,60,100,"dart",15,1,1,0
0.1,1024,60,100,"dart",15,1,1,0
0.05,1024,60,100,"dart",15,1,1,0.69431758160149
0.01,1024,60,100,"dart",15,1,1,0
0.1,2048,60,100,"dart",15,1,1,0
0.05,2048,60,100,"dart",15,1,1,0
0.01,2048,60,100,"dart",15,1,1,0.649777802488453
0.1,256,70,100,"dart",15,1,1,0
0.05,256,70,100,"dart",15,1,1,0
0.01,256,70,100,"dart",15,1,1,0.616531574286248
0.1,512,70,100,"dart",15,1,1,0
0.05,512,70,100,"dart",15,1,1,0
0.01,512,70,100,"dart",15,1,1,0.633019662196241
0.1,1024,70,100,"dart",15,1,1,0
0.05,1024,70,100,"dart",15,1,1,0
0.01,1024,70,100,"dart",15,1,1,0
0.1,2048,70,100,"dart",15,1,1,0
0.05,2048,70,100,"dart",15,1,1,0
0.01,2048,70,100,"dart",15,1,1,0
0.1,256,40,150,"dart",15,1,1,0
0.05,256,40,150,"dart",15,1,1,0.631796483759129
0.01,256,40,150,"dart",15,1,1,0
0.1,512,40,150,"dart",15,1,1,0
0.05,512,40,150,"dart",15,1,1,0
0.01,512,40,150,"dart",15,1,1,0
0.1,1024,40,150,"dart",15,1,1,0
0.05,1024,40,150,"dart",15,1,1,0
0.01,1024,40,150,"dart",15,1,1,0
0.1,2048,40,150,"dart",15,1,1,0
0.05,2048,40,150,"dart",15,1,1,0.688299980540343
0.01,2048,40,150,"dart",15,1,1,0
0.1,256,50,150,"dart",15,1,1,0.554928853111361
0.05,256,50,150,"dart",15,1,1,0
0.01,256,50,150,"dart",15,1,1,0
0.1,512,50,150,"dart",15,1,1,0.639917912018522
0.05,512,50,150,"dart",15,1,1,0
0.01,512,50,150,"dart",15,1,1,0
0.1,1024,50,150,"dart",15,1,1,0.635232701754943
0.05,1024,50,150,"dart",15,1,1,0
0.01,1024,50,150,"dart",15,1,1,0
0.1,2048,50,150,"dart",15,1,1,0
0.05,2048,50,150,"dart",15,1,1,0
0.01,2048,50,150,"dart",15,1,1,0
0.1,256,60,150,"dart",15,1,1,0.622273165927332
0.05,256,60,150,"dart",15,1,1,0
0.01,256,60,150,"dart",15,1,1,0.61097862217686
0.1,512,60,150,"dart",15,1,1,0
0.05,512,60,150,"dart",15,1,1,0
0.01,512,60,150,"dart",15,1,1,0
0.1,1024,60,150,"dart",15,1,1,0
0.05,1024,60,150,"dart",15,1,1,0
0.01,1024,60,150,"dart",15,1,1,0.641744736957066
0.1,2048,60,150,"dart",15,1,1,0
0.05,2048,60,150,"dart",15,1,1,0
0.01,2048,60,150,"dart",15,1,1,0
0.1,256,70,150,"dart",15,1,1,0
0.05,256,70,150,"dart",15,1,1,0
0.01,256,70,150,"dart",15,1,1,0.620214016512909
0.1,512,70,150,"dart",15,1,1,0.634234897916228
0.05,512,70,150,"dart",15,1,1,0
0.01,512,70,150,"dart",15,1,1,0
0.1,1024,70,150,"dart",15,1,1,0
0.05,1024,70,150,"dart",15,1,1,0
0.01,1024,70,150,"dart",15,1,1,0
0.1,2048,70,150,"dart",15,1,1,0
0.05,2048,70,150,"dart",15,1,1,0.737053371087715
0.01,2048,70,150,"dart",15,1,1,0.667225966330822
0.1,256,40,100,"gbdt",20,1,1,0
0.05,256,40,100,"gbdt",20,1,1,0.607985210660715
0.01,256,40,100,"gbdt",20,1,1,0
0.1,512,40,100,"gbdt",20,1,1,0
0.05,512,40,100,"gbdt",20,1,1,0
0.01,512,40,100,"gbdt",20,1,1,0
0.1,1024,40,100,"gbdt",20,1,1,0
0.05,1024,40,100,"gbdt",20,1,1,0
0.01,1024,40,100,"gbdt",20,1,1,0.628160704995572
0.1,2048,40,100,"gbdt",20,1,1,0
0.05,2048,40,100,"gbdt",20,1,1,0
0.01,2048,40,100,"gbdt",20,1,1,0.641154990210601
0.1,256,50,100,"gbdt",20,1,1,-1
0.05,256,50,100,"gbdt",20,1,1,0
0.01,256,50,100,"gbdt",20,1,1,0
0.1,512,50,100,"gbdt",20,1,1,0
0.05,512,50,100,"gbdt",20,1,1,0
0.01,512,50,100,"gbdt",20,1,1,0
0.1,1024,50,100,"gbdt",20,1,1,0
0.05,1024,50,100,"gbdt",20,1,1,0
0.01,1024,50,100,"gbdt",20,1,1,0
